id,source_date_accessed,,source_id,short_title,author,year,genre,gender,translator,title,place,fromat,catalogue,notes
1984,GARSIDE1800-1829,20100817,1826A035,"Last of the Lairds, The",John GALT,1826,goth,Male,,"THE LAST OF THE LAIRDS: OR, THE LIFE AND OPINIONS OF MALACHI MAILINGS, ESQ. OF AULDBIGGINGS. BY THE AUTHOR OF ANNALS OF THE PARISH, THE ENTAIL, ETC","Edinburgh:                     William Blackwood, and T. Cadell, Strand, London, 1826",1 vol.  (364p). 8&deg;,Corvey; CME 3-628-47905-3; ECB 330; EN2 1826: 36; NSTC 2G1375; OCLC 3535262,
2480,GARSIDE1830-1836,20110421,1832:031,THE RADICAL: AN AUTOBIOGRAPHY,"[GALT, John]",1832,goth,,,,,,,"Dedication 'to the late John Philip Curran', dated 25 Oct 1817"
1284,GARSIDE1800-1829,20100817,1817A029,Mandeville. A Tale of the Seventeenth Century in England,William GODWIN,1817,goth,Male,,MANDEVILLE. A TALE OF THE SEVENTEENTH CENTURY IN ENGLAND. BY WILLIAM GODWIN. IN THREE VOLUMES,"Edinburgh:                     Printed for Archibald Constable and Co. and Longman, Hurst, Rees, Orme, and Brown, London, 1817","3 vols (I xii, 306p; II 316p; III 367p). 12&deg;",Corvey; CME 3-628-47849-9; ECB 234; EN2 1817: 29; NSTC 2G11519; OCLC 1414083,
3006,GARSIDE1770-1799,20111110,1799:42:00,ST. LEON,"GODWIN, William",1799,goth,Male,,ST. LEON: A TALE OF THE SIXTEENTH CENTURY. BY WILLIAM GODWIN. IN FOUR VOLUMES,"London: Printed for G. G. and J. Robinson, Paternoster-Row; R. Noble, Printer, Great Shire-Lane, 1799.",,,"Prose translation of Goethe's <i>Hermann und Dorothea</i>, first published in <i>Taschenbuch f&uuml;r 1798</i> (Berlin, 1798). Goethe revised his work in 1799 for theatrical performance; his revised version was an epic poem of more than 500 hexameters. 'Advertisement' to the present work remarks: 'The Public are already acquainted with the Poem of Herman and Dorothea; written by the celebrated Goethe, and translated into blank verse by Mr. Holcroft. It is replete with beauties of every kind: but the extreme simplicity of manners and of incident, which prevails throughout, is a defect in the eye of some English readers; who have not been accustomed to see the common occurrences of life written in the language of the Muses. This consideration occasioned the present translation, in prose, to be undertaken' (pp. iv&ndash;v). Thomas Holcroft's verse translation was first published in 1801. Imprint notes: 'Printed [&hellip;] by Mercier and Co. Northumberland-Court, Strand'"
404,GARSIDE1800-1829,20100817,1805A033,Herman and Dorothea,Johann Wolfgang von GOETHE,1805,goth,Male,,HERMAN AND DOROTHEA: A TALE. TRANSLATED FROM THE GERMAN OF GOETHE,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by Mercier and Co. Northumberland-Court, Strand, 1805","1 vol.  (xii, 142p, ill.). 12&deg;",BL 11521.aaa.8; EN2 Update 1; NSTC G1268; xOCLC,"Trans. of <i>Wilhelm Meisters Lehrjahre</i> (Berlin, 1794)"
1799,GARSIDE1800-1829,20100817,1824A040,Wilhelm Meister's Apprenticeship,Johann Wolfgang von GOETHE,1824,goth,Male,Thomas CARLYLE,WILHELM MEISTER'S APPRENTICESHIP. A NOVEL. FROM THE GERMAN OF GOETHE. IN THREE VOLUMES,"Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and G. & W. B. Whittaker, London, 1824","3 vols (I xviii, 324p; II 351p; III 294p). 8&deg;",BL 12550.g.23; ECB 235; EN2 1824: 40; NSTC 2G11798; OCLC 2533996,"Prefatory' (pp. i&ndash;ii), signed W. C. G., and dated Walworth, 18 Jan 1825. Frontispiece portrait of Will<sup>m</sup>. Child Green, Esq. Collates in fours"
1802,GARSIDE1800-1829,20100817,1824A043,Prophecy of Duncannon,William Child GREEN,1824,goth,Male,,"THE PROPHECY OF DUNCANNON; OR, THE DWARF AND THE SEER: A CALEDONIAN LEGEND. BY W. C. GREEN, ESQ. AUTHOR OF THE WOODLAND FAMILY; FAYS OF LOCHLOMOND, &C","London:                     Printed by J. M'Gowan, Great Windmill Street; published by Joseph Emans, Ivy Lane, Paternoster-Row; and sold by Jones & Co., 3, Acton Place, Kingsland Road, 1824","1 vol.  (ii, 553p, ill.). 8&deg;",O 256.d.397; EN2 1824: 43; NSTC 2G20224; xOCLC,
1989,GARSIDE1800-1829,20100817,1826A040,Abbot of Montserrat,William Child GREEN,1826,goth,Male,,"ABBOT OF MONTSERRAT; OR, THE POOL OF BLOOD. A ROMANCE. IN TWO VOLUMES. BY WILLIAM CHILD GREEN, AUTHOR OF THE FAYS OF LOCH LOMOND, SICILIAN BOY, THE PROPHECY OF DUNCANNON, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1826","2 vols (I ii, 229p; II 256p). 12&deg;",Corvey; CME 3-628-47853-7; ECB 244; EN2 1826: 41; NSTC 2G20221; OCLC 6774392,"Trans. of <i>Die Elixiere des Teufels</i> (Berlin, 1815&ndash;16). Translator's Preface dated Edinburgh, 5 June 1824"
1806,GARSIDE1800-1829,20100817,1824A047,"Devil's Elixir, The",Ernst Theodor Amadeus HOFFMANN,1824,goth,Male,Robert Pierce GILLIES,THE DEVIL'S ELIXIR. FROM THE GERMAN OF E. T. A. HOFFMANN,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1824","2 vols (I vii, 379p; II 339p). 12&deg;",BL N.230; ECB 275; EN2 1824: 47; NSTC 2H25417; OCLC 6792820,"Dedication in verse 'to the Right Honourable Lady Anne Scott, of Buccleuch', dated Eltrive Lake, 1 Apr 1818. The other tales are: 'The Wool-Gatherer', vol. 2, pp. [89]&ndash;228; 'The Hunt of Eildon', vol. 2, pp. [231]&ndash;346. Song with music facing p. 291 of vol. 1"
1347,GARSIDE1800-1829,20100817,1818A037,"Brownie of Bodsbeck, The",James HOGG,1818,goth,Male,,"THE BROWNIE OF BODSBECK; AND OTHER TALES. BY JAMES HOGG, AUTHOR OF ""THE QUEEN'S WAKE,"" &C. &C. IN TWO VOLUMES","Edinburgh:                     Printed for William Blackwood, Prince's-Street: and John Murray, Albemarle-Street, London, 1818","2 vols (I xii, 295p, music; II 346p). 12&deg;",Corvey; CME 3-628-51047-3; ECB 276; EN2 1818: 37; NSTC 2H25690; OCLC 13609253,
1479,GARSIDE1800-1829,20100817,1820A034,Winter Evening Tales,James HOGG,1820,goth,Male,,"WINTER EVENING TALES, COLLECTED AMONG THE COTTAGERS IN THE SOUTH OF SCOTLAND. BY JAMES HOGG, AUTHOR OF ""THE QUEEN'S WAKE,"" &C. &C. IN TWO VOLUMES","Edinburgh:                     Printed for Oliver & Boyd, High-Street; and G. & W. B. Whittaker, Ave-Maria-Lane, London, 1820",2 vols (I 340p; II 335p). 12&deg;,Corvey; CME 3-628-51027-9; ECB 276; EN2 1820: 34; NSTC 2H25732; OCLC 6933037,"John Moir, Printer, Edinburgh, 1822' on verso of t.ps. Dedication 'to William Stewart Rose, Esq. as a small menorial of Yarrow, and the Shepherd's humble sheil'"
1634,GARSIDE1800-1829,20100817,1822A044,"Three Perils of Man, The",James HOGG,1822,goth,Male,,"THE THREE PERILS OF MAN; OR, WAR, WOMEN, AND WITCHCRAFT. A BORDER ROMANCE. BY JAMES HOGG, AUTHOR OF ""WINTER-EVENING TALES,"" ""BROWNIE OF BODSBECK,"" ""QUEEN'S WAKE,"" &C. &C. IN THREE VOLUMES","London:                     Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1822",3 vols (I 341p; II 353p; III 449p). 12&deg;,Corvey; CME 3-628-47697-6; ECB 276; EN2 1822: 44; NSTC 2H25728; OCLC 27902346,Dedication to John Gibson Lockhart
1712,GARSIDE1800-1829,20100817,1823A040,"Three Perils of Woman, The",James HOGG,1823,goth,Male,,"THE THREE PERILS OF WOMAN; OR, LOVE, LEASING, AND JEALOUSY. A SERIES OF DOMESTIC SCOTTISH TALES. BY JAMES HOGG, AUTHOR OF ""THE THREE PERILS OF MAN,"" ""QUEEN'S WAKE,"" &C. &C. IN THREE VOLUMES","London:                     Longman, Hurst, Rees, Orme, Brown, and Green, Paternoster-Row, 1823",3 vols (I 335p; II 333p; III 372p). 12&deg;,Corvey; CME 3-628-47732-8; ECB 276; EN2 1823: 43; NSTC 2H25729; OCLC 6794169,"Dedication 'to the Hon. William Smith, Lord Provost of Glasgow'. Printer's mark, verso of t.p., reads: 'Edinburgh: printed by James Clarke and Co. 1824'. 'Fac Simile' between pp. 366 and 367; though in other copies seen (e.g. E Hall.201.e) this appears as a frontispiece"
1809,GARSIDE1800-1829,20100817,1824A050,"Private Memoirs and Confessions of a Justified Sinner, The",James HOGG,1824,goth,Male,,"THE PRIVATE MEMOIRS AND CONFESSIONS OF A JUSTIFIED SINNER: WRITTEN BY HIMSELF: WITH A DETAIL OF CURIOUS TRADITIONARY FACTS, AND OTHER EVIDENCE, BY THE EDITOR","London:                     Printed for Longman, Hurst, Rees, Orme, Brown, and Green, Paternoster Row, 1824",1 vol.  (390p). 8&deg;,Corvey; CME 3-628-47313-6; ECB 471; EN2 1824: 50; NSTC 2M24211; OCLC 8264736,"Advs (1 p. unn.) at end of vol. 2 headed 27, Old Bond-Street, Feb 1827"
2069,GARSIDE1800-1829,20100817,1827A043,National Tales,Thomas HOOD,1827,goth,Male,,"NATIONAL TALES. BY THOMAS HOOD, AUTHOR OF ""WHIMS AND ODDITIES."" IN TWO VOLUMES","London:                     William H. Ainsworth, Old Bond Street, 1827","2 vols (I viii, 244p, ill.; II 238p, ill.). 12&deg;",Corvey; CME 3-628-51050-3; ECB 279; EN2 1827: 42; NSTC 2H28777; OCLC 45623268,"Trans. of <i>Han d'Islande</i> (Paris, 1823)"
1901,GARSIDE1800-1829,20100817,1825A043,Hans of Iceland,Victor HUGO,1825,goth,Male,,HANS OF ICELAND,"London:                     J. Robins and Co. Ivy Lane, Paternoster Row, 1825","1 vol.  (225p, ill.). 12&deg;",Corvey; CME 3-628-47659-3; ECB 254; EN2 1825: 44; NSTC 2H35719; OCLC 2028294,"Also published New York 1822, simultaneously with the London edn (Blanck)"
1636,GARSIDE1800-1829,20100817,1822A046,Bracebridge Hall,Washington IRVING,1822,goth,Male,,"BRACEBRIDGE HALL; OR, THE HUMORISTS. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1822","2 vols (I iv, 393p; II iv, 404p). 12&deg;",Corvey; ECB 301; EN2 1822: 46; NSTC 2C42718; OCLC 276071,Reviewed in QR (Mar 1825) with three other of Irving's works
1814,GARSIDE1800-1829,20100817,1824A055,Tales of a Traveller,Washington IRVING,1824,goth,Male,,"TALES OF A TRAVELLER. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1824","2 vols (I xvi, 364p; II vi, 394p). 8&deg;",BL 838.f.7; ECB 301; EN2 1824: 54; NSTC 2C42720; OCLC 2127228,
2239,GARSIDE1800-1829,20100817,1829A050,"Richelieu, a Tale of France",George Payne Rainsford JAMES,1829,goth,Male,,"RICHELIEU, A TALE OF FRANCE. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I xix, 290p; II 315p; III 348p). 12&deg;",Corvey; CME 3-628-47936-3; ECB 493; EN2 1829: 48; NSTC 2J2162; OCLC 2503093,
2498,GARSIDE1830-1836,20110421,1832:049,HENRY MASTERTON,"[JAMES, George Payne Rainsford]",1832,goth,Male,,"HENRY MASTERTON; OR THE ADVENTURES OF A YOUNG CAVALIER. BY THE AUTHOR OF ""RICHELIEU,"" ""DARNLEY,"" &C.; IN THREE VOLUMES.","London: Henry Colburn and Richard Bentley, New Burlington Street, 1832.",,,"Introductory Address signed Charles Montague Montgomery, Gladstanes' Lodgings, James' Court, 10 Nov 1824"
1907,GARSIDE1800-1829,20100817,1825A049,Lochandhu,Sir Thomas Dick LAUDER,1825,goth,Male,,LOCHANDHU A TALE OF THE EIGHTEENTH CENTURY. IN THREE VOLUMES,"Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson and Co. London, 1825","3 vols (I xii, 300p, ill.; II 312p, ill.; III 287p, ill.). 12&deg;",Corvey; CME 3-628-48037-X; ECB 350; EN2 1825: 50; NSTC 2L5420; OCLC 17424477,"ECB 645 lists 2nd edn, Feb 1827"
2075,GARSIDE1800-1829,20100817,1827A049,"Wolfe of Badenoch, The",Sir Thomas Dick LAUDER,1827,goth,Male,,"THE WOLFE OF BADENOCH; A HISTORICAL ROMANCE OF THE FOURTEENTH CENTURY. BY THE AUTHOR OF ""LOCHANDHU.""","Edinburgh:                     Printed for Cadell & Co.; and Simpkin & Marshall, London, 1827",3 vols (I 399p; II 424p; III 474p). 12&deg;,Corvey; CME 3-628-48973-3; EN2 1827: 48; NSTC 2L5427; OCLC 22291941,"Dedication to Lady Charlotte Maria Campbell, dated London, 21 June 1808. I Mistrust; or, Blanche and Osbright; The Admiral Guarino; King Rodrigo's Fall; Bertrand and Mary-Belle; The Lord of Falkenstein; Sir Guy, the Seeker; II The Anaconda; The Dying Bride; The Four Facardins, Part I; III The Four Facardins, Part II; Oberon's Henchman, or the Legend of the Three Sisters; IV My Uncle's Garret-Window; Bill Jones; Amorassan, or the Spirit of the Frozen Ocean"
659,GARSIDE1800-1829,20100817,1808A071,Romantic Tales,Matthew Gregory LEWIS,1808,goth,Male,,"ROMANTIC TALES, BY M. G. LEWIS, AUTHOR OF THE MONK, ADELGITHA, &C. IN FOUR VOLUMES","London:                     Printed by D. N. Shury, 7, Berwick Street, for Longman, Hurst, Rees, and Orme, Paternoster-Row, 1808","4 vols ( I xxiii, 307p; II 335p; III 276p; IV 326p). 12&deg;",Corvey; CME 3-628-51092-9; ECB 343; EN2 1808: 72; NSTC L1509; OCLC 4739245,
3007,GARSIDE1770-1799,20111110,1796:63,THE MONK,"LEWIS, M[atthew] G[regory]",1796,goth,Male,,"THE MONK: A ROMANCE. IN THREE VOLUMES. BY M. G. LEWIS, ESQ. M.P.","London: Printed for J. Bell, Oxford-street, 1796.",,,"Attributed in Block and in some library catalogues to William Maginn, but perhaps erroneously: see also the same author's <a href=""titleDetails.asp?title=1829A059""><i>Tales of Military Life</i></a> (EN2 1829: 58), and <a href=""../guide/update1.html"">EN2 Update 1</a>, where information suggesting  authorship by another Irish writer is supplied"
2078,GARSIDE1800-1829,20100817,1827A052,"Military Sketch-Book, The",William MAGINN,1827,goth,Male,,THE MILITARY SKETCH-BOOK. REMINISCENCES OF SEVENTEEN YEARS IN THE SERVICE ABROAD AND AT HOME. BY AN OFFICER OF THE LINE. IN TWO VOLUMES,"London:                     Henry Colburn, New Burlington Street, 1827",2 vols (I 347p; II 347p). 12&deg;,IU 823.M.5991; ECB 384; EN2 1827: 51; NSTC 2S3536; OCLC 1813654,"Dedication to Sir Edmund Nagle, K.C.B., dated Green Arbour Court, 21 Oct 1827"
2079,GARSIDE1800-1829,20100817,1827A053,Whitehall,William MAGINN,1827,goth,Male,,"WHITEHALL; OR, THE DAYS OF GEORGE IV","London:                     William Marsh, 137, Oxford-Street, n.d. [1827]","1 vol.  (vi, 330p). 8&deg;",Corvey; CME 3-628-48905-9; ECB 635; EN2 1827: 52; NSTC 2M9550; OCLC 1168342,"I Vandeleur; II Vandeleur; III Vandeleur concluded; Gentleman Gray. Dedication 'to the Colonel of the 42nd (Royal Highlanders,) Lieutenant-General the Right Hon. Sir George Murray, G.C.B. and G.C.H.'. Preface mentions the author having spent the 'greatest part' of his life in the army. Wolff (Item 7574) suggests that the attribution of this title to William Maginn by Block is likely to be wrong&mdash;see also <a href=""titleDetails.asp?title=1827A052""><i>The Military Sketch-Book</i></a> (EN2 1827: 51) and <a href=""../guide/update1.html"">EN2 Update 1</a>, where information suggesting an alternative Irish author is supplied"
2248,GARSIDE1800-1829,20100817,1829A059,Tales of Military Life,William MAGINN,1829,goth,Male,,"TALES OF MILITARY LIFE. BY THE AUTHOR OF ""THE MILITARY SKETCH BOOK."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I vii, 335p; II 322p; III 331p). 12&deg;",Corvey; CME 3-628-48864-8; ECB 575; EN2 1829: 58; NSTC 2M9549; OCLC 13322562,
2249,GARSIDE1800-1829,20100817,1829A060,"Naval Officer, The",Frederick MARRYAT,1829,goth,Male,,"THE NAVAL OFFICER; OR, SCENES AND ADVENTURES IN THE LIFE OF FRANK MILDMAY. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829",3 vols (I 297p; II 310p; III 270p). 12&deg;,Corvey; CME 3-628-48259-3; ECB 408; EN2 1829: 59; NSTC 2M15125; OCLC 5305661,
2510,GARSIDE1830-1836,20110421,1832:061,Newton Forster,"MARRYAT, Frederick",,goth,,,,,,,
2663,GARSIDE1830-1836,20110421,1834:048,JACOB FAITHFUL,"[MARRYAT, Frederick]",1834,goth,Male,,"JACOB FAITHFUL. BY THE AUTHOR OF """"PETER SIMPLE,"""" """"THE KINGS'S OWN,"""" &C.; IN THREE VOLUMES.",,,,"Preface signed 'Dennis Jasper Murphy', dated Dublin, 15 Dec 1806. Colophons vary: vols 1&ndash;2 read 'C. Stower, Printer, Paternoster Row'; vol. 3 reads 'G. Woodfall, Printer, Paternoster Row'"
560,GARSIDE1800-1829,20100817,1807A041,Fatal Revenge,Charles Robert MATURIN,1807,goth,Male,,"FATAL REVENGE; OR, THE FAMILY OF MONTORIO. A ROMANCE. BY DENNIS JASPER MURPHY. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster Row, 1807","3 vols (I xiii, 400p; II 518p; III 493p). 12&deg;",Corvey; CME 3-628-48395-6; ECB 201; EN2 1807: 42; NSTC M1726; OCLC 6929107,"Dedication 'to the Right Honorable the Earl of Moira', signed 'The Author of Montorio'. Preface stating that 'My first work was said to be too defective in female characters and female interest' (p. [ix])"
662,GARSIDE1800-1829,20100817,1808A074,"Wild Irish Boy, The",Charles Robert MATURIN,1808,goth,Male,,THE WILD IRISH BOY. IN THREE VOLUMES. BY THE AUTHOR OF MONTORIO,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by J. D. Dewick, Aldersgate-Street, 1808","3 vols (I xi, 276p; II 342p; III 406p). 12&deg;",Corvey; CME 3-628-48922-9; ECB 637; EN2 1808: 75; NSTC M1728; OCLC 24412175,"Dedication to the Quarterly Reviewers, dated Dublin, 12 Dec 1811. Drop-head titles and running-titles read: 'The Milesian'"
995,GARSIDE1800-1829,20100817,1812A046,"Milesian Chief, The",Charles Robert MATURIN,1812,goth,Male,,"THE MILESIAN CHIEF. A ROMANCE. BY THE AUTHOR OF MONTORIO, AND THE WILD IRISH BOY. IN FOUR VOLUMES","London:                     Printed for Henry Colburn, Public Library, Conduit-Street, Hanover-Square, 1812","4 vols (I vi, 228p; II 218p; III 239p; IV 204p). 12&deg;",Corvey; CME 3-628-48130-9; ECB 384; EN2 1812: 46; NSTC M1727; OCLC 6929253,"Dedication to the Marchioness of Abercorn. Preface dated Dublin, 31 Aug 1820"
1495,GARSIDE1800-1829,20100817,1820A050,Melmoth the Wanderer,Charles Robert MATURIN,1820,goth,Male,,"MELMOTH THE WANDERER: A TALE. BY THE AUTHOR OF ""BERTRAM,"" &C. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Company, and Hurst, Robinson, and Co. Cheapside, London, 1820","4 vols (I xii, 341p; II 321p; III 368p; IV 453p). 12&deg;",Corvey; CME 3-628-48054-X; ECB 378; EN2 1820: 51; NSTC 2M20497; OCLC 4540321,"Dedication to Mrs Smith, Fitzwilliam Street, Dublin"
1825,GARSIDE1800-1829,20100817,1824A066,"Albigenses, The",Charles Robert MATURIN,1824,goth,Male,,"THE ALBIGENSES, A ROMANCE. BY THE AUTHOR OF ""BERTRAM,"" A TRAGEDY: ""WOMAN; OR, POUR ET CONTRE,"" &C. IN FOUR VOLUMES","London:                     Printed for Hurst, Robinson, and Co. 90, Cheapside, and 8, Pall-Mall; and A. Constable and Co. Edinburgh, 1824","4 vols (I viii, 439p; II 366p; III 335p; IV 277p). 12&deg;",Corvey; CME 3-628-47036-6; ECB 10; EN2 1824: 66; NSTC 2M20487; OCLC 6925160,"Dedication 'to John Galt, Esq. of Guelph, Upper Canada'. 'Part of this Autobiography originally appeared in Blackwood's Magazine' appears on verso of half-title"
2163,GARSIDE1800-1829,20100817,1828A057,"Life of Mansie Wauch, The",David Macbeth MOIR,1828,goth,Male,,"THE LIFE OF MANSIE WAUCH, TAILOR IN DALKEITH. WRITTEN BY HIMSELF","Edinburgh:                     William Blackwood, and T. Cadell, London, 1828","1 vol.  (viii, 374p). 12&deg;",Corvey; ECB 627; EN2 1828: 58; NSTC 2M32196; OCLC 19038233,
1426,GARSIDE1800-1829,20100817,1819A054,Ernestus Berchtold,John William POLIDORI,1819,goth,Male,,"ERNESTUS BERCHTOLD; OR, THE MODERN OEDIPUS. A TALE. BY JOHN WILLIAM POLIDORI, M.D","London:                     Printed for Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1819","1 vol.  (viii, 275p). 12&deg;",Corvey; CME 3-628-48480-4; ECB 460; EN2 1819: 54; NSTC 2P20555; OCLC 22105256,"[Entered at Stationers' Hall, March 27, 1819.]' after imprint date. 'Extract from a Letter to Geneva', with t.p. 'Extract of a Letter to the Editor', pp. [vii]&ndash;xvi. Introduction, pp. [xix]&ndash;xxv. Continuous roman and arabic pagination in vol. 1, with tale beginning at p. [27]. 'Extract of a Letter, containing an Account of Lord Byron's Residence in the Island of Mitylene', introduced by separate t.p., pp. [75]&ndash;84: this has been ascribed to John Mitford, R.N. The story was also published in the <i>New Monthly Magazine</i>, Apr 1819, and attributed by the publisher to Byron; subsequently repudiated by him, and claimed by Polidori. ECB lists as by Byron. OCLC 1904043 describes another 1819 edn with the imprint of John Miller, London; this is described as 46 pp in length. For further details concerning the early publication history, see Publishing Papers (click on link below)"
1427,GARSIDE1800-1829,20100817,1819A055,"Vampyre, The",John William POLIDORI,1819,goth,Male,,THE VAMPYRE; A TALE,"London:                     Printed for Sherwood, Neely, and Jones, Paternoster-Row, 1819","1 vol.  (xxv, 84p). 8&deg;",Corvey; CME 3-628-51148-8; ECB 90; EN2 1819: 55; NSTC 2P20559; OCLC 1904059,"Trans. of <i>Der Geisterseher. Eine Geschichte aus den Papieren des Grafen von O**</i> (Leipzig, 1789); 2nd and 3rd part continued by X. Y. Z. (i.e. Emanuel Friedrich Wilhelm Ernst Follenius) (Leipzig, 1796&ndash;97). This follows an earlier translation by D. Boileau of Schiller's original first part only, under the title <i>The Ghost-Seer; or the Apparitionist</i> (London, 1795). Imprint in vols 2 and 3 changes to: 'Printed by J. Cundee, Ivy Lane, [etc.]'"
63,GARSIDE1800-1829,20100817,1800A063,"Armenian, The",Johann Christoph Friedrich SCHILLER,1800,goth,Male,Wilhelm RENDER,"THE ARMENIAN; OR, THE GHOST-SEER. A HISTORY FOUNDED ON FACT. TRANSLATED FROM THE GERMAN OF F. SCHILLER, AUTHOR OF THE ROBBERS, DON CARLOS &C. BY THE REV. W. RENDER","London:                     Printed by C. Whittingham, Dean Street, Fetter Lane, for H[.] D. Symonds, Paternoster Row, 1800","4 vols (I vi, 223p; II 243p; III 255p; IV 256p). 12&deg;",BL 1154.i.8; EM 2903: 2; EN2 1800: 64; ESTC t100181; OCLC 7089443,"Trans. of <i>Die Zigeunerin</i> (Leipzig, 1825). Friedrich Laun was the pseudonym of Friedrich August Schulze. Title above has been mainly reconstituted from a list of 'Novels, Romances, and Tales, Published by C. Chapple, Royal Subscription Library, Pall Mall', in <a href=""titleDetails.asp?title=1828A037""><i>Life in the West</i></a> (EN2 1828: 38)"
2018,GARSIDE1800-1829,20100817,1826A069,"Gipsy, The",Friedrich August SCHULZE,1826,goth,Male,,"THE GIPSY, A ROMANTIC TALE, FROM THE GERMAN OF FREDERICK LAUN",London:                     C. Chapple,1 vol.  12&deg;,No copy located; ECB 231; EN2 1826: 69; xNSTC; xOCLC,
1134,GARSIDE1800-1829,20100817,1814A054,Waverley,Sir Walter SCOTT,1814,goth,Male,,"WAVERLEY; OR, 'TIS SIXTY YEARS SINCE. IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1814",3 vols (I 358p; II 370p; III 371p). 12&deg;,BL C.59.g.16; ECB 627; EN2 1814: 52; NSTC S893; OCLC 2349473,
1187,GARSIDE1800-1829,20100817,1815A044,Guy Mannering,Sir Walter SCOTT,1815,goth,Male,,"GUY MANNERING; OR, THE ASTROLOGER. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Longman, Hurst, Rees, Orme, and Brown, London; and Archibald Constable and Co., 1815",3 vols (I 341p; II 346p; III 358p). 12&deg;,BL 636.e.2; ECB 249; EN2 1815: 46; NSTC S866; OCLC 2384073,"Novel proper ends vol. 3, p. 355 followed by 'Glossary', pp. [357]&ndash;372"
1248,GARSIDE1800-1829,20100817,1816A052,"Antiquary, The",Sir Walter SCOTT,1816,goth,Male,,"THE ANTIQUARY. BY THE AUTHOR OF ""WAVERLEY"" AND ""GUY MANNERING."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1816","3 vols (I viii, 336p; II 348p; III 372p). 12&deg;",Corvey; CME 3-628-48541-X; ECB 21; EN2 1816: 52; NSTC 2S9452; OCLC 2514237,"Vol. 1 contains 'The Black Dwarf', vols 2&ndash;4 contain 'Old Mortality'"
1249,GARSIDE1800-1829,20100817,1816A053,Tales of my Landlord,Sir Walter SCOTT,1816,goth,Male,,"TALES OF MY LANDLORD, COLLECTED AND ARRANGED BY JEDEDIAH CLEISHBOTHAM, SCHOOLMASTER AND PARISH-CLERK OF GANDERCLEUGH. IN FOUR VOLUMES","Edinburgh:                     Printed for William Blackwood, Prince's Street: and John Murray, Albemarle Street, London, 1816",4 vols (I 363p; II 340p; III 349p; IV 347p). 12&deg;,BL 1152.h.2; ECB 575; EN2 1816: 53; NSTC 2S10281; OCLC 2461097,
1365,GARSIDE1800-1829,20100817,1818A055,Rob Roy,Sir Walter SCOTT,1818,goth,Male,,"ROB ROY. BY THE AUTHOR OF ""WAVERLEY,"" ""GUY MANNERING,"" AND ""THE ANTIQUARY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1818","3 vols (I viii, 321p; II 324p; III 348p). 12&deg;",BL Cup.400.b.40; ECB 495; EN2 1818: 55; NSTC 2S10179; OCLC 24119665,Comprises 'The Heart of Mid-Lothian'
1366,GARSIDE1800-1829,20100817,1818A056,Tales of my Landlord. Second Series,Sir Walter SCOTT,1818,goth,Male,,"TALES OF MY LANDLORD. SECOND SERIES, COLLECTED AND ARRANGED BY JEDEDIAH CLEISHBOTHAM, SCHOOLMASTER AND PARISH-CLERK OF GANDERCLEUGH. IN FOUR VOLUMES","Edinburgh:                     Printed for Archibald Constable and Company, 1818",4 vols (I 333p; II 322p; III 328p; IV 375p). 12&deg;,Corvey; ECB 575; EN2 1818: 56; NSTC 2S10293; OCLC 2461091,"Contains 'The Bride of Lammermoor' (ends vol. 3, p. 131) and 'A Legend of Montrose' (begins vol. 3, p. [135])"
