id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions
734,GARSIDE1800-1829,20100817,1809A035,"Emily, a Moral Tale",Henry KETT,1809,?,Male,,"EMILY, A MORAL TALE, INCLUDING LETTERS FROM A FATHER TO HIS DAUGHTER, UPON THE MOST IMPORTANT SUBJECTS. BY THE REV. HENRY KETT, FELLOW OF TRINITY COLLEGE, OXFORD, AND AUTHOR OF THE ELEMENTS OF GENERAL KNOWLEDGE, &C. IN TWO VOLUMES","London:                     Printed for Messrs. Rivingtons, No. 62, St. Paul's Church-Yard; Payne, Pall-Mall; Lunn, Soho Square; Egerton, Charing-Cross; and Hatchard, Piccadilly, 1809/11","3 vols (I (1809) vii, 327p; II (1809) 328p; III (1811) 328p). 8&deg;",BRu ENC; ECB 320; EN2 1809: 37; NSTC K473; OCLC 15219879,"Dedication to 'their Royal Highnesses the Princesses Augusta, Elizabeth, Mary, Sophia, and Amelia'. 'Advertisement to the Third Volume of Emily' begins: 'As the two Volumes which originally composed this work have been very favourably received, the author is encouraged to introduce a THIRD to the notice of the public'. Vol. 3 title is similar to those of vols 1 and 2 apart from reading: 'In Three Volumes'. Imprint to vol. 3 differs as follows: 'London: Printed for Messrs. Rivingtons, No. 62, St. Paul's Church-Yard; Payne, Pall-Mall; Egerton, Charing-Cross; and Hatchard, Piccadilly; by Law and Gilbert, St. John's Square, 1811'",2nd edn 1809 (NSTC); 3rd edn 1811 (OCLC)
740,GARSIDE1800-1829,20100817,1809A041,"Adventures of Ralph Reybridge, The",William LINLEY,1809,?,Male,,"THE ADVENTURES OF RALPH REYBRIDGE: CONTAINING SKETCHES OF MODERN CHARACTERS, MANNERS, AND EDUCATION. BY WILLIAM LINLEY, ESQ. IN FOUR VOLUMES","London:                     Printed for Richard Phillips, Bridge-Street, Blackfriars, 1809","4 vols (I xii, 307p; II viii, 303p; III vii, 268p; IV xii, 268p). 12&deg;",Corvey; CME 3-628-48102-3; EN2 1809: 43; NSTC L1727; OCLC 13100381,"Prefatory Address to the Reader' (vol. 1, pp. [iii]&ndash;viii) begins: 'The following pages were written at Madras in the year 1801, soon after the Author's arrival at that Presidency, and before he was appointed to fill any office of responsibility in the service.' 'Introductory Chapter to the Fourth Volume', vol. 4, pp. [vii]&ndash;xii",
741,GARSIDE1800-1829,20100817,1809A042,"Modern Times; or, Anecdotes of the English Family",George LIPSCOMB,1809,?,Male,,"MODERN TIMES; OR, ANECDOTES OF THE ENGLISH FAMILY. IN THREE VOLUMES","London:                     Printed for J. Budd, Bookseller to his Royal Highness the Prince of Wales, at the Crown and Mitre, Pall-Mall; and Sharpe and Hailes, No. 186, Piccadilly, 1809","3 vols (I xxiv, 264p; II 230p; III 261p). 12&deg;",Corvey; CME 3-628-48219-4; ECB 390; EN2 1809: 24; NSTC M2772; OCLC 35120559,"Preface dated Buen-Retiro, Sept 1809. For the identification of the true author as George Lipscomb (1773&ndash;1846), and commentary on the pseudonym 'John English', see EN2 Updates <a href=""../guide/update1.html"">1</a> and <a href=""../guide/update2.html"">2</a>",
748,GARSIDE1800-1829,20100817,1809A049,"Bachelor, The",Thomas George MOORE,1809,?,Male,,"THE BACHELOR: A NOVEL, IN THREE VOLUMES. BY THOMAS GEORGE MOORE, ESQ","London:                     Printed for Henry Colburn, Conduit-Street, New Bond-Street, 1809",3 vols (I 184p; II 220p; III 228p). 12&deg;,Corvey; CME 3-628-48288-7; EN2 1809: 50; xNSTC; OCLC 30483107,,
751,GARSIDE1800-1829,20100817,1809A052,Nubilia in Search of a Husband,William MUDFORD,1809,?,Male,,"NUBILIA IN SEARCH OF A HUSBAND; INCLUDING SKETCHES OF MODERN SOCIETY, AND INTERSPERSED WITH MORAL AND LITERARY DISQUISITIONS","London:                     Printed for J. Ridgeway, Piccadilly; and Sherwood, Neely, and Jones, Paternoster-Row, 1809",1 vol.  (456p). 8&deg;,BL 12614.d.23; ECB 418; EN2 1809: 53; NSTC N1351; OCLC 10318143,"Preface (3 pp. unn.) ends: 'It is not to deprecate criticism that it is told, the following work was commenced on the 10th of May, 1809, and finished on the 3d of June following'",2nd edn (with two additional chapters) 1809 (NSTC); 3rd edn 1809 (OCLC); 4th edn 1809 (NSTC); Philadelphia 1809 (OCLC)
759,GARSIDE1800-1829,20100817,1809A060,Tales of Other Realms,Sir Robert Ker PORTER,1809,?,Male,,TALES OF OTHER REALMS. COLLECTED DURING A LATE TOUR THROUGH EUROPE. BY A TRAVELLER. IN TWO VOLUMES,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, 1809","2 vols (I viii, 199p; II 208p). 12&deg;",Corvey; CME 3-628-51155-0; ECB 575; EN2 1809: 10; NSTC T131; OCLC 13298759,"For tentative attribution to Sir Robert Porter, the brother of Jane and Anna Maria Porter, see <a href=""../guide/update4.html"">EN2 Update 4</a> and Publishing Papers (click on link below). Preface dated London, May 1809",
761,GARSIDE1800-1829,20100817,1809A062,Coelebs Suited,Sir George ROVER,1809,?,Male,,"COELEBS SUITED, OR THE OPINIONS AND PART OF THE LIFE OF CALEB COELEBS, ESQ. A DISTANT RELATION OF THE LATE CHARLES COELEBS, ESQ. DECEASED. BY SIR GEORGE ROVER, BART","London:                     Printed for Edmund Lloyd, Harley Street, Cavendish Square, 1809","1 vol.  (vi, 322p). 8&deg;",Corvey; CME 3-628-48557-6; EN2 1809: 62; NSTC R1784; OCLC 13346665,,
763,GARSIDE1800-1829,20100817,1809A064,"Son of the Storm, The",Henry SIDDONS,1809,?,Male,,"THE SON OF THE STORM, A TALE. BY HENRY SIDDONS. IN FOUR VOLUMES","Richmond:                     Printed by G. A. Wall, for Longman, Hurst, Rees, and Orme, Paternoster Row, London, 1809",4 vols (I 261p; II 255p; III 226p; IV 224p). 12&deg;,Corvey; CME 3-628-48696-3; ECB 537; EN2 1809: 64; NSTC S1921; OCLC 7071319,"Dedication 'to B. C. Griffinhoofe, Esq.', a former school-fellow of the author",
767,GARSIDE1800-1829,20100817,1809A068,"Fallen Minister, and Other Tales, The",Christian Heinrich SPIESS,1809,?,Male,William B. HEWETSON,"THE FALLEN MINISTER, AND OTHER TALES. IN TWO VOLUMES. FROM THE GERMAN OF SPIESS, BY WILLIAM B. HEWETSON, AUTHOR OF THE DRAMA OF ""THE BLIND BOY.""","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1809","2 vols (I vi, 213p; II 223p). 12&deg;",BL 12548.f.23; ECB 555; EN2 1809: 68; NSTC S3325; OCLC 40570367,No German original discovered. Contains 7 tales,
771,GARSIDE1800-1829,20100817,1809A072,Coelibia Choosing a Husband,Robert TORRENS,1809,?,Male,,"COELIBIA CHOOSING A HUSBAND; A MODERN NOVEL, IN TWO VOLUMES. BY R. TORRENS, ESQ","London:                     Printed by D. N. Shury, Berwick-Street, Soho, for J. F. Hughes, 28, Berners-Street, 1809",2 vols (I 202p; II 198p). 12&deg;,BL 12611.aa.19; ECB 594; EN2 1809: 72; NSTC T1332; xOCLC,,
772,GARSIDE1800-1829,20100817,1809A073,Stories for Calumniators,John Bernard TROTTER,1809,?,Male,,"STORIES FOR CALUMNIATORS: INTERSPERSED WITH REMARKS ON THE DISADVANTAGES, MISFORTUNES, AND HABITS OF THE IRISH. IN TWO VOLUMES. BY J. B. TROTTER, ESQ","Dublin:                     Printed by H. Fitzpatrick, No. 4, Capel-Street, 1809","2 vols (I xiii, 265p; II 323p). 12&deg;",BL 12614.e.3; ECB 600; EN2 1809: 73; NSTC T1701; OCLC 44617224,"Dedication 'to the Right Honourable Lord Holland', dated Richmond, Dec 1809. ECB dates 1810, and gives publisher as Ridgway; but not discovered in this form",
774,GARSIDE1800-1829,20100817,1809A075,Edward and Laura,Friedrich August Clemens WERTHES,1809,?,Male,,EDWARD AND LAURA: A NOVEL. TRANSLATED FROM THE FRENCH. IN TWO VOLUMES. BY A BENGAL OFFICER,"London:                     Printed by J. Dean, 57, Wardour Street, for R. Ryan, No. 353, Oxford Street, to be had of all Booksellers, 1809","2 vols (I xii, 177p; II 188p). 12&deg;",CLU-S/C PT 2557.W52E2; EN2 1809: 75; xNSTC; OCLC 14508091,"Trans. of <i>Les Aventures d'Edouard Bomston</i> (Lausanne, 1789), itself a trans. of <i>Begebenheiten Eduard Bomstons in Italien</i> (Altenburg, 1782). 'The French Translator's Dedication', vol. 1, pp. [v]&ndash;viii, addressed to 'To my Friend. My dear C*****', and signed 'De S*******', Lausanne, 1 July 1789. 'The English Translator's Address' (pp. [ix]&ndash;xii), dated Camp near Saoronj, 20 May 1807. Text proper ends vol. 2, p. 168; pp. [169]&ndash;188, contains 'List of Subscribers'",
752,GARSIDE1800-1829,20100817,1809A053,"Chamber of Death, The",ORLANDO,1809,?|histrom,Male,,"THE CHAMBER OF DEATH; OR, THE FATE OF ROSARIO. AN HISTORICAL ROMANCE OF THE SIXTEENTH CENTURY. IN TWO VOLUMES. BY ORLANDO, AUTHOR OF ""A SUMMER BY THE SEA.""","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1809",2 vols (I 211p; II 183p). 12&deg;,Corvey; CME 3-628-47247-4; ECB 104; EN2 1809: 54; xNSTC; OCLC 22685002,,
735,GARSIDE1800-1829,20100817,1809A036,Leontina,August Friedrich Ferdinand von KOTZEBUE,1809,?|potgoth,Male,,LEONTINA: A NOVEL. IN THREE VOLUMES. BY AUGUSTUS VON KOTZEBUE. TRANSLATED FROM THE GERMAN,"London:                     Printed for Henry Colburn, Conduit-Street, New Bond-Street, 1809",3 vols (I 212p; II 234p; III 216p). 12&deg;,C Rom.3.53; EN2 1809: 38; NSTC 902; OCLC 12948552,"Trans. of <i>Leontine</i> (Riga, 1808)",
721,GARSIDE1800-1829,20100817,1809A022,Old Times Revived,EGESTAS,1809,?|romance,Male,,"OLD TIMES REVIVED, A ROMANTIC STORY OF THE NINTH AGE; WITH PARALLELS OF CHARACTERS AND EVENTS OF THE EIGHTEENTH AND NINETEENTH CENTURIES. BY EGESTAS, AUTHOR OF WAYS AND MEANS, POLITICAL VERSATILITY, &C. &C","London:                     Printed by D. Deans, Hart-Street, Covent Garden; for J. Cawthorn, (Bookseller to Her Royal Highness the Princess of Wales,) No. 5, Catherine-Street, Strand, 1809","4 vols (I viii, 237p; II 203p; III 229p; IV 262p). 12&deg;",Corvey; CME 3-628-48254-2; EN2 1809: 23; xNSTC; xOCLC,,
738,GARSIDE1800-1829,20100817,1809A039,"Love, Hatred, and Revenge",Thomas Pike LATHY,1809,?|romance,Male,,"LOVE, HATRED, AND REVENGE; A SWISS ROMANCE. BY T. P. LATHY","London:                     A. K. Newman, 1809",3 vols. 12&deg;,No copy located; EN2 1809: 41; xNSTC; xOCLC,"Newman is given as publisher by Bent22. For the possibility that this represents an unacknowledged trans. of Fran&ccedil;ois Pag&egrave;'s <i>Amour, haine et vengeance</i> (1799), see <a href=""../guide/update2.html"">EN2 Update 2</a>",
747,GARSIDE1800-1829,20100817,1809A048,"Irish Chieftain, and his Family, The",Theodore MELVILLE,1809,?|romance,Male,,"THE IRISH CHIEFTAIN, AND HIS FAMILY. A ROMANCE. IN FOUR VOLUMES. BY THEODORE MELVILLE, ESQ. AUTHOR OF THE WHITE KNIGHT, THE BENEVOLENT MONK, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1809",4 vols (I 208p; II 226p; III 236p; IV 240p). 12&deg;,Corvey; CME 3-628-48056-6; ECB 379; EN2 1809: 49; NSTC M2020; OCLC 6946078,"Colophon in each vol. reads: 'J. Dennett, Printer, Leather-Lane, Holborn'",
750,GARSIDE1800-1829,20100817,1809A051,"Iron Mask, The","Charles de Fieux, Chevalier de MOUHY",1809,?|romance,Male,John Proteus HUNT,"THE IRON MASK; OR, THE ADVENTURES OF A FATHER & A SON, A ROMANCE, TRANSLATED FROM A SPANISH MANUSCRIPT, BY THE REVEREND JOHN PROTEUS HUNT. IN THREE VOLUMES","London:                     Printed by J. Dean, 57, Wardour Street, Soho. For George Hughes, 212, Tottenham-Court-Road, and sold by Sherwood, Neely, and Jones, 20, Paternoster-Row, 1809","3 vols (I xlv, 208p; II 208p; III 193p). 12&deg;",Corvey; CME 3-628-47669-0; EN2 1809: 52; xNSTC; xOCLC,"Trans. of <i>Le Masque de Fer, ou les aventures admirables du p&egrave;re et du fils</i> (La Haye, 1750). 'The English Translator's Preface' (vol. 1, pp. [v]&ndash;ix), signed 'J. P. H.', begins: 'The History of the Iron Mask was originally written in Spanish, and was published by the French Translator, who favours us with the annexed ingenious and interesting preface, in the original language, and in French, at the Hague, about the year 1726&ndash;7'. Dedication 'to Her Ladyship the Countess of Tremes', signed 'L. C. D***'. Preface, pp. [xiii]&ndash;xlv. Continuous roman and arabic pagination, with novel proper beginning on p. [47]. Frank (Item 193) treats Hunt's work as an original title, and gives A. K. Newman as publisher",
756,GARSIDE1800-1829,20100817,1809A057,Matilda Montfort,Peter PEREGRINE,1809,?|romance,Male,,"MATILDA MONTFORT; A ROMANTIC NOVEL. IN FOUR VOLUMES. BY PETER PEREGRINE, ESQ","London:                     Printed by W. M'Dowall, Pemberton Row, Gough Square, for R. Spencer, No. 22, Great-Ormond-Street, 1809",4 vols (I 231p; II 239p; III 251p; IV 220p). 12&deg;,Corvey; CME 3-628-48432-4; EN2 1809: 58; xNSTC; xOCLC,,
773,GARSIDE1800-1829,20100817,1809A074,Guiscard,Horace VERE,1809,?|romance,Male,,"GUISCARD; OR, THE MYSTERIOUS ACCUSATION. A ROMANCE. IN TWO VOLUMES. BY HORACE VERE","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, and Co.) Leadenhall-Street, 1809",2 vols (I 250p; II 294p). 12&deg;,Corvey; CME 3-628-48910-5; ECB 612; EN2 1809: 74; NSTC V218; xOCLC,,
775,GARSIDE1800-1829,20100817,1809A076,"Dominican, The",Thomas WILLIAMSON,1809,?|romance,Male,,"THE DOMINICAN; A ROMANCE: OF WHICH THE PRINCIPAL TRAITS ARE TAKEN FROM EVENTS RELATING TO A FAMILY OF DISTINCTION, WHICH EMIGRATED FROM FRANCE DURING THE REVOLUTION. BY CAPTAIN T. WILLIAMSON, AUTHOR OF THE WILD SPORTS OF THE EAST. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster Row, 1809","3 vols (I ix, 248p; II 305p; III 281p). 12&deg;",Corvey; CME 3-628-48930-X; ECB 640; EN2 1809: 76; NSTC W2178; xOCLC,"Dedication 'to His Most Christian Majesty, Louis XVIII. King of France and Navarre' signed 'Thomas Williamson', dated London, 5 Feb 1809. 'Explanation of the Plate, which shews the Route across Switzerland', preceding text proper; but no map located in Corvey or BL copy",1812 (NSTC); New York 1810 (OCLC)
776,GARSIDE1800-1829,20100817,1809A077,Scenes in Feudal Times,R. H. WILMOT,1809,?|romance,Male,,SCENES IN FEUDAL TIMES. A ROMANCE. IN FOUR VOLUMES. BY R. H. WILMOT,"London:                     Printed for George Robinson, 25, Paternoster-Row, 1809",4 vols (I 271p; II 270p; III 203p; IV 188p). 12&deg;,Corvey; CME 3-628-48935-0; ECB 641; EN2 1809: 77; NSTC W2233; OCLC 42652336,,
762,GARSIDE1800-1829,20100817,1809A063,Osrick,Richard SICKELMORE,1809,goth,Male,,"OSRICK; OR, MODERN HORRORS. A ROMANCE. INTERSPERSED WITH A FEW ANECDOTES, &C. THAT HAVE THEIR FOUNDATION IN TRUTH, AND WHICH ARE OCCASIONALLY POINTED OUT TO THE READER. IN THREE VOLUMES. BY RICHARD SICKELMORE, AUTHOR OF MARY-JANE; RAYMOND; AGNES AND LEONORA; EDGAR; RASHLEIGH ABBEY; &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1809","3 vols (I viii, 219p; II 210p; III 246p). 12&deg;",Corvey; CME 3-628-48692-0; ECB 537; EN2 1809: 63; NSTC S1915; xOCLC,Dedication 'to the Right Honourable the Countess Craven',
718,GARSIDE1800-1829,20100817,1809A019,John de Lancaster,Richard CUMBERLAND,1809,potgoth,Male,,"JOHN DE LANCASTER. A NOVEL. BY RICHARD CUMBERLAND, ESQ. IN THREE VOLUMES","London:                     Printed for Lackington, Allen, and Co. Temple of the Muses, Finsbury Square, 1809",3 vols (I 300p; II 292p; III 292p). 8&deg;,BRu ENC; ECB 147; EN2 1809: 20; NSTC C4483; OCLC 19027172,,"2nd edn 1809 (Corvey), CME 3-628-47361-6; New York 1809 (OCLC)"
736,GARSIDE1800-1829,20100817,1809A037,"London; or, Truth without Reason",Francis LATHOM,1809,potgoth,Male,,"LONDON; OR, TRUTH WITHOUT TREASON. A NOVEL. IN FOUR VOLUMES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER, THE UNKNOWN, MYSTERY, ERESTINA, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1809","4 vols (I viii, 296p; II 312p; III 295p; IV 322p). 12&deg;",Corvey; CME 3-628-47959-2; ECB 330; EN2 1809: 39; xNSTC; xOCLC,,
737,GARSIDE1800-1829,20100817,1809A038,"Romance of the Hebrides, The",Francis LATHOM,1809,potgoth|romance,Male,,"THE ROMANCE OF THE HEBRIDES; OR, WONDERS NEVER CEASE! IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF LONDON; THE UNKNOWN; MYSTERIOUS FREEBOOTER; MYSTERY; &C","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1809","3 vols (I viii, 282p; II 288p; III 256p). 12&deg;",Corvey; CME 3-628-47963-0; EN2 1809: 40; NSTC L546; OCLC 6875795,"Preface (vol. 1, pp. [v]&ndash;viii) states: 'The period at which the following tale is supposed to have taken place, is about the middle of the thirteenth century, and the theatre of action principally the Scottish Isles'",
780,GARSIDE1800-1829,20100817,1810A002,"Royal Sufferer, The",John AGG,1810,?,Male,,"THE ROYAL SUFFERER; OR, INTRIGUES AT THE CLOSE OF THE EIGHTEENTH CENTURY. A FASHIONABLE NOVEL. INTERSPERSED WITH ANECDOTES, CONNECTED WITH THE BRITISH COURT. BY JOHN AGG. IN THREE VOLUMES","London:                     Printed by E. Thomas, Golden-Lane: for George Hughes, No. 221, Tottenham-Court Road; Bookseller to Her Royal Highness the Princess of Wales, 1810",3 vols (I 221p; II 199p; III 204p). 12&deg;,BL N.2336-8; ECB 8; EN2 1810: 21; NSTC A595; xOCLC,,"Reissued 1813 as <i>The Secret Memoirs of an Illustrious Princess; or, the Royal Sufferer</i> (OCLC 20609289)"
802,GARSIDE1800-1829,20100817,1810A024,"Sorrows of Eliza, The",Robert B. BAYLES,1810,?,Male,,THE SORROWS OF ELIZA; OR A TALE OF MISFORTUNE,"London:                     Printed by G. Davidson, Old Boswell Court, St. Clement's, 1810","1 vol.  (xi, 131p). 12&deg;",BL 12613.dd.3; ECB 44; EN2 1810: 23; NSTC B1040; OCLC 10361731,"The author's name appears on vignette t.p. which immediately precedes the normal t.p.. The vignette t.p. reads: 'The Sorrows of Eliza; or, A Tale of Misfortune: being the authentic Memoirs of a young Lady in the Vicinity of London. By R. Bayles, Esq<sup>r</sup>. London: Published by Longman, Rees, Orme & Brown, Paternoster Row, 1810'. Introductory address to the Right Honourable Henry Richard (Vassal) Lord Holland, signed Robert Bayles. ECB lists as Longman, 1810",
807,GARSIDE1800-1829,20100817,1810A029,Yorkshire Characters,John BREWSTER,1810,?,Male,,YORKSHIRE CHARACTERS: A NOVEL. IN TWO VOLUMES. BY JOHN BREWSTERR [sic],"London:                     Printed for J. F. Hughes, 15, Paternoster-Row, 1810",2 vols (I 220p; II 238p). 12&deg;,Corvey; CME 3-628-47121-4; EN2 1810: 28; NSTC B4275; OCLC 13315244,Author at end signs himself 'John Brewster',
814,GARSIDE1800-1829,20100817,1810A036,Original Tales,George CUMBERLAND,1810,?,Male,,"ORIGINAL TALES, BY GEORGE CUMBERLAND. IN TWO VOLUMES","London:                     Printed and published by Miller and Pople, 72, Chancery-Lane, 1810",2 vols (I 257p; II 227p). 12&deg;,Corvey; CME 3-628-51009-0; ECB 147; EN2 1810: 35; NSTC C4461; OCLC 6720517,"Tales end vol. 2, p. 179, followed by 'Poems', pp. [183]&ndash;227. Mistakenly attributed to Richard Cumberland in Block",
817,GARSIDE1800-1829,20100817,1810A039,"Little Chimer, The",Fran&#231;ois Guillaume DUCRAY-DUMINIL,1810,?,Male,,"THE LITTLE CHIMER; A TALE. ALTERED FROM THE FRENCH OF DUCRAY DUMINIL, AUTHOR OF ""COELINA,"" &C. &C. IN FOUR VOLUMES","London:                     Printed for Henry Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1810",4 vols (I 252p; II 260p; III 244p; IV 259p). 12&deg;,C Syn.7.81.208-211; ECB 173; EN2 1810: 38; NSTC D2045; OCLC 15146714,"Trans. of <i>Le Petit Carillonneur</i> (Paris, 1809). ECB gives title as 'The little chimer: a romantic novel'",
818,GARSIDE1800-1829,20100817,1810A040,"Novice of Saint Ursula, The",Fran&#231;ois Guillaume DUCRAY-DUMINIL,1810,?,Male,,"THE NOVICE OF SAINT URSULA. BY THE AUTHOR OF ""A TALE OF MYSTERY,"" ""JEANNETTE,"" &C. IN FOUR VOLUMES","London:                     Printed for Henry Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1810",4 vols (I 224p; II 232p; III 264p; IV 205p). 12&deg;,IU 845.D856.OnE; ECB 173; EN2 1810: 39; xNSTC; OCLC 35224126,"French original not discovered. Drop-head title reads: 'Elvina, or the Novice of Saint Ursula' [misspelt Ursulu in vol. 1]",
832,GARSIDE1800-1829,20100817,1810A054,"Love, Mystery, and Misery!",Anthony Frederick HOLSTEIN,1810,?,Male,,"LOVE, MYSTERY, AND MISERY! A NOVEL. IN TWO VOLUMES. BY ANTHONY FREDERICK HOLSTEIN, AUTHOR OF SIR OWEN GLENDOWR, THE ASSASSIN OF ST. GLENROY, &C","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, and Co.) Leadenhall-Street, 1810","2 vols (I v, 247p; II 250p). 12&deg;",Corvey; CME 3-628-47739-5; ECB 278; EN2 1810: 53; NSTC H2277; OCLC 6818748,"Prefatory Apology', dated Jan 1810, followed by text proper on p. [7] of vol. 1",
833,GARSIDE1800-1829,20100817,1810A055,"Miseries of an Heiress, The",Anthony Frederick HOLSTEIN,1810,?,Male,,"THE MISERIES OF AN HEIRESS. A NOVEL. IN FOUR VOLUMES. BY ANTHONY FREDERICK HOLSTEIN, AUTHOR OF SIR OWEN GLENDOWR; THE ASSASSIN OF ST. GLENROY; LOVE, MYSTERY, AND MISERY, &C","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, and Co.) Leadenhall-Street, 1810","4 vols (I xviii, 288p; II 307p; III 271p; IV 302p). 12&deg;",Corvey; CME 3-628-47733-6; EN2 1810: 54; xNSTC; xOCLC,"Vol. 1: text proper begins on p. 19, following 'Preface', pp. [i]&ndash;xviii",
836,GARSIDE1800-1829,20100817,1810A058,Edward Fitz-Yorke,Charles William JANSON,1810,?,Male,,"EDWARD FITZ-YORKE: A NOVEL. IN FOUR VOLUMES. BY CHARLES WILLIAM JANSON, ESQ. AUTHOR OF ""THE STRANGER IN AMERICA,"" &C. &C","London:                     Printed by E. Thomas, Golden Lane, for Sherwood, Neely, and Jones, Paternoster-Row; and J. Colbourn, Conduit-Street, Bond-Street, n.d. [1810?]",4 vols (I 213p; II 215p; III 215p; IV 224p). 12&deg;,BL 12611.bbb.14; EN2 1810: 57; NSTC J255; OCLC 41523020,"No date on t.ps.; tentative 1810 dating is from BLPC, which in turn forms the basis for OCLC dating",
841,GARSIDE1800-1829,20100817,1810A063,Isabel,Charles LLOYD,1810,?,Male,,ISABEL. A TALE. IN TWO VOLUMES,"London:                     Sold by Longman, Hurst, Rees, and Orme; and Sherwood, Neely, and Jones. Ulverston: Printed and sold by J. Soulby, 1810","2 vols (I xliv, 203p; II 270p). 12&deg;",MH-H 1849438*; EN2 1810: 60; xNSTC; xOCLC,"Preface, dated 1 Nov 1809, states: 'The following Tale was, in the main, written more than ten years ago: it has since undergone some alterations'. ECB 350 lists Baldwin edn, 1820, 10s","1820 (NSTC 2L18659, Corvey), CME 3-628-48036-1. BL C.39.g.26 (Charles and Henry Baldwin, London, 1820) includes an 'Advertisement' stating that the work was first printed in 1810 'in a remote country place, in the North of England, at which the author resided', and then laid aside until a change of location encouraged publication in 1820. The Bodleian copy (256.e.14895) and Corvey copy have no 'Advertisement', and a different imprint, reading: 'London: C. & J. Ollier, Vere Street, Bond Street, 1820'. Both 1820 issues seen acknowledge Lloyd's authorship on the t.p"
842,GARSIDE1800-1829,20100817,1810A064,"Boon, The",William MANNERS,1810,?,Male,,"THE BOON, BEING AN ANTIDOTE TO ""THE REFUSAL;"" AND CONTAINING INCIDENTS IN THE UNMARRIED LIFE OF A WELL-KNOWN LADY OF FASHION AND QUALITY. IN THREE VOLUMES. BY WILLIAM MANNERS, ESQ","London:                     Printed by J. Dean, 57, Wardour Street, Soho, for G. Hughes, Tottenham Court-Road; Bookseller to Her R.H. the Princess of Wales: sold by Sherwood, Neely, and Jones, Paternoster-Row, 1810",3 vols (I 195p; II 199p; III 211p). 12&deg;,O 249.s.466&ndash;468; EN2 1810: 61; NSTC M1009; xOCLC,"An antidote, that is, to Jane West's <a href=""titleDetails.asp?title=1810A089""><i>The Refusal</i></a> (EN2 1810: 87)",
849,GARSIDE1800-1829,20100817,1810A071,"Suffolk Tale, A",John Hamilton ROCHE,1810,?,Male,,"A SUFFOLK TALE; OR, THE PERFIDIOUS GUARDIAN. IN TWO VOLUMES. BY HAMILTON ROCHE, ESQ","London:                     Printed for the Author; and sold by T. Hookham, jun. and E. T. Hookham, 15, Old Bond Street, 1810","2 vols (I xii, 207p; II 179p). 12&deg;",Corvey; CME 3-628-48426-X; ECB 498; EN2 1810: 69; NSTC R1409; OCLC 7026087,"Entered at Stationers' Hall' printed on page facing t.p. Dedication to Lady Hippisley, dated Sudbury, 1809",
854,GARSIDE1800-1829,20100817,1810A076,Family Pride and Humble Merit,E. SENATE,1810,?,Male,,"FAMILY PRIDE AND HUMBLE MERIT. A NOVEL, FOUNDED ON FACTS, AND PARTLY TAKEN FROM THE FRENCH. BY E. SENATE, M.D. IN THREE VOLUMES","London:                     Printed for Sherwood, Neely, and Jones, (Successors to Mr. H. D. Symonds) No. 20, Paternoster Row, 1810","3 vols (I viii, 311p; II 288p; III 306p). 12&deg;",BL N.2027; ECB 527; EN2 1810: 75; NSTC S1141; OCLC 42215704,"Preface by the author, dated Jan 1810",
837,GARSIDE1800-1829,20100817,1810A059,"Mysteries of Ferney Castle, The",George LAMBE,1810,?|castle,Male,,"THE MYSTERIES OF FERNEY CASTLE; A ROMANCE OF THE SEVENTEENTH CENTURY. IN FOUR VOLUMES. BY G. LAMBE, ESQ","London:                     Printed for Henry Colburn, English and Foreign Library, Conduit-Street, Bond-Street, 1810",4 vols (I 214p; II 264p; III 250p; IV 268p). 12&deg;,Corvey; CME 3-628-47896-0; ECB 327; EN2 1810: 58; xNSTC; OCLC 6893100,"Robert Huish later apparently claimed this title as his own: see <a href=""titleDetails.asp?title=1820A036""><i>The Brothers</i></a> (EN2 1820: 36)",
