585,1623,GARSIDE1800-1829,20100817,1822A033,"Steam-Boat, The",John GALT,1822,goth,Male,,THE STEAM-BOAT. BY THE AUTHOR OF ANNALS OF THE PARISH; AYRSHIRE LEGATEES; SIR ANDREW WYLIE; AND THE PROVOST,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1822","1 vol.  (v, 359p). 12&deg;",Corvey; CME 3-628-48785-4; ECB 222; EN2 1822: 34; NSTC 2G1402; OCLC 2513066,"Dedication to Lord Gwydir signed 'Thomas Duffle' and dated Boyle's Land, Salt Market, Glasgow, 1 July 1822. Page facing t.p. states 'Originally printed in Blackwood's Edinburgh Magazine and now reprinted with corrections and additions'","1834, with <i>The Provost</i> (NSTC); New York 1823 (NSTC); German trans., 1826",GALT
619,1701,GARSIDE1800-1829,20100817,1823A029,"Entail, The",John GALT,1823,goth,Male,,"THE ENTAIL: OR THE LAIRDS OF GRIPPY. BY THE AUTHOR OF ANNALS OF THE PARISH, SIR ANDREW WYLIE, &C. IN THREE VOLUMES","Edinburgh:                     William Blackwood, and T. Cadell, London, 1823",3 vols (I 321p; II 333p; III 304p). 12&deg;,Corvey; CME 3-628-47610-0; ECB 222; EN2 1823: 32; NSTC 2G1368; OCLC 713212,"Dedication to the King, dated Edinburgh, 3 Dec 1822. Colophon in all 3 vols reads 'Printed by George Ramsay & Co. Edinburgh 1822'","1842 (NSTC); 1850 (NSTC); New York 1823 (NSTC) [also Philadelphia 1823 (NSTC)]; French trans., 1824 [as <i>Les Lairds de Grippy, ou le domaine substitu«∂∏</i> (CCFR)]; German trans., 1824 [as <i>Das Gewissen, oder die Heimkehr ins Vaterhaus. Ein Familiengem&auml;lde</i> (RS)]",GALT
620,1702,GARSIDE1800-1829,20100817,1823A030,"Gathering, The",John GALT,1823,goth,Male,,"THE GATHERING OF THE WEST: (ORIGINALLY PUBLISHED IN BLACKWOOD'S EDINBURGH MAGAZINE.) BY THE AUTHOR OF THE AYRSHIRE LEGATEES, THE ENTAIL, ANNALS OF THE PARISH, ETC","Edinburgh:                     William Blackwood, and T. Cadell, London, 1823",1 vol.  (131p). 12&deg;,BL N.119(1); EN2 1823: 33; NSTC 2W13387; xOCLC,Lacks a t.p.; the title appears on the front cover,2nd edn (with <i>The Ayrshire Legatees</i>) 1823 (OCLC 5724764),GALT
621,1703,GARSIDE1800-1829,20100817,1823A031,Ringan Gilhaize,John GALT,1823,goth,Male,,"RINGAN GILHAIZE; OR THE COVENANTERS. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" ""SIR ANDREW WYLIE,"" ""THE ENTAIL,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Oliver & Boyd, High Street; and G. & W. B. Whittaker, London, 1823",3 vols (I 308p; II 324p; III 323p). 12&deg;,Corvey; CME 3-628-48608-4; ECB 494; EN2 1823: 34; NSTC 2G1396; OCLC 22949383,,1832 (OCLC); New York 1823 (NSTC),GALT
622,1704,GARSIDE1800-1829,20100817,1823A032,"Spaewife, The",John GALT,1823,goth,Male,,"THE SPAEWIFE; A TALE OF THE SCOTTISH CHRONICLES. BY THE AUTHOR OF ""ANNALS OF THE PARISH,"" ""RINGAN GILHAIZE,"" &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and G. & W. B. Whittaker, Ave-Maria-Lane, London, 1823",3 vols (I 312p; II 318p; III 315p). 12&deg;,Corvey; CME 3-628-48664-5; ECB 552; EN2 1823: 35; NSTC 2G1400; OCLC 1922613,,"Philadelphia 1824 (NSTC); German trans., 1825",GALT
662,1796,GARSIDE1800-1829,20100817,1824A037,"Bachelor's Wife, The",John GALT,1824,goth,Male,,"THE BACHELOR'S WIFE; A SELECTION OF CURIOUS AND INTERESTING EXTRACTS, WITH CURSORY OBSERVATIONS. BY JOHN GALT, ESQ","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court, and G. & W. B. Whittaker, London, 1824","1 vol.  (vii, 444p). 8&deg;",Corvey; CME 3-628-54796-2; ECB 222; EN2 1824: 37; NSTC 2G1358; OCLC 3526468,Preface dated 20 Feb 1824,,GALT
663,1797,GARSIDE1800-1829,20100817,1824A038,Rothelan,John GALT,1824,goth,Male,,"ROTHELAN; A ROMANCE OF THE ENGLISH HISTORIES. BY THE AUTHOR OF ANNALS OF THE PARISH, RINGAN GILHAIZE, THE SPAEWIFE, &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and Geo. B. Whittaker, London, 1824","3 vols (I 299p; II 309p, music; III 314p). 12&deg;",Corvey; CME 3-628-51123-2; ECB 503; EN2 1824: 38; NSTC 2G1397; OCLC 2637026,"Dedication 'to the Right Honourable Lady Sarah Robinson'. Also containing: <i>The Quarantine, or Tales of Lazaretto</i>, vol. 3, pp. [115]&ndash;314, incorporating 3 tales. 'Advertisement' (vol. 1, 1 p. unn.) states 'The Manuscript of <i>Rothelan</i> not proving sufficient to fill three volumes, three additional Tales have been added, forming part of a design which the Author had some intention of hereafter completing'","New York 1825 (OCLC); French trans., 1825; German trans., 1826",GALT
705,1888,GARSIDE1800-1829,20100817,1825A030,"Omen, The",John GALT,1825,goth,Male,,THE OMEN,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1825",1 vol.  (160p). 8&deg;,BL N.354(1); ECB 423; EN2 1825: 31; NSTC 2G1387; OCLC 11844400,"Postscript' signed 'B. A. M., Castle-Bromage, 10th Jan. 1826'",1842 with <i>The Provost</i> (NSTC); 1844 (NSTC),GALT
762,1984,GARSIDE1800-1829,20100817,1826A035,"Last of the Lairds, The",John GALT,1826,goth,Male,,"THE LAST OF THE LAIRDS: OR, THE LIFE AND OPINIONS OF MALACHI MAILINGS, ESQ. OF AULDBIGGINGS. BY THE AUTHOR OF ANNALS OF THE PARISH, THE ENTAIL, ETC","Edinburgh:                     William Blackwood, and T. Cadell, Strand, London, 1826",1 vol.  (364p). 8&deg;,Corvey; CME 3-628-47905-3; ECB 330; EN2 1826: 36; NSTC 2G1375; OCLC 3535262,,New York 1827 (NSTC),GALT
931,2480,GARSIDE1830-1836,20110421,1832:031,THE RADICAL: AN AUTOBIOGRAPHY,"[GALT, John]",1832,goth,,,,,,,,"1833 as <i>Reform: Being The Member and The Radical</i> (NSTC, OCLC).","GALT, John]"
457,1284,GARSIDE1800-1829,20100817,1817A029,Mandeville. A Tale of the Seventeenth Century in England,William GODWIN,1817,goth,Male,,MANDEVILLE. A TALE OF THE SEVENTEENTH CENTURY IN ENGLAND. BY WILLIAM GODWIN. IN THREE VOLUMES,"Edinburgh:                     Printed for Archibald Constable and Co. and Longman, Hurst, Rees, Orme, and Brown, London, 1817","3 vols (I xii, 306p; II 316p; III 367p). 12&deg;",Corvey; CME 3-628-47849-9; ECB 234; EN2 1817: 29; NSTC 2G11519; OCLC 1414083,"Dedication 'to the late John Philip Curran', dated 25 Oct 1817","1818 (NSTC); New York 1818 (NSTC) [also Philadelphia 1818 (NSTC)]; French trans., 1818",GODWIN
2,3006,GARSIDE1770-1799,20111110,1799:42:00,ST. LEON,"GODWIN, William",1799,goth,Male,,ST. LEON: A TALE OF THE SIXTEENTH CENTURY. BY WILLIAM GODWIN. IN FOUR VOLUMES,"London: Printed for G. G. and J. Robinson, Paternoster-Row; R. Noble, Printer, Great Shire-Lane, 1799.",,,,,"GODWIN, William"
169,404,GARSIDE1800-1829,20100817,1805A033,Herman and Dorothea,Johann Wolfgang von GOETHE,1805,goth,Male,,HERMAN AND DOROTHEA: A TALE. TRANSLATED FROM THE GERMAN OF GOETHE,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by Mercier and Co. Northumberland-Court, Strand, 1805","1 vol.  (xii, 142p, ill.). 12&deg;",BL 11521.aaa.8; EN2 Update 1; NSTC G1268; xOCLC,"Prose translation of Goethe's <i>Hermann und Dorothea</i>, first published in <i>Taschenbuch f&uuml;r 1798</i> (Berlin, 1798). Goethe revised his work in 1799 for theatrical performance; his revised version was an epic poem of more than 500 hexameters. 'Advertisement' to the present work remarks: 'The Public are already acquainted with the Poem of Herman and Dorothea; written by the celebrated Goethe, and translated into blank verse by Mr. Holcroft. It is replete with beauties of every kind: but the extreme simplicity of manners and of incident, which prevails throughout, is a defect in the eye of some English readers; who have not been accustomed to see the common occurrences of life written in the language of the Muses. This consideration occasioned the present translation, in prose, to be undertaken' (pp. iv&ndash;v). Thomas Holcroft's verse translation was first published in 1801. Imprint notes: 'Printed [&hellip;] by Mercier and Co. Northumberland-Court, Strand'",,GOETHE
664,1799,GARSIDE1800-1829,20100817,1824A040,Wilhelm Meister's Apprenticeship,Johann Wolfgang von GOETHE,1824,goth,Male,Thomas CARLYLE,WILHELM MEISTER'S APPRENTICESHIP. A NOVEL. FROM THE GERMAN OF GOETHE. IN THREE VOLUMES,"Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and G. & W. B. Whittaker, London, 1824","3 vols (I xviii, 324p; II 351p; III 294p). 8&deg;",BL 12550.g.23; ECB 235; EN2 1824: 40; NSTC 2G11798; OCLC 2533996,"Trans. of <i>Wilhelm Meisters Lehrjahre</i> (Berlin, 1794)",1828 (NSTC); 1829 (OCLC); London 1839 (NSTC); London 1842 (NSTC); Boston 1828 (OCLC),GOETHE
680,1802,GARSIDE1800-1829,20100817,1824A043,Prophecy of Duncannon,William Child GREEN,1824,goth,Male,,"THE PROPHECY OF DUNCANNON; OR, THE DWARF AND THE SEER: A CALEDONIAN LEGEND. BY W. C. GREEN, ESQ. AUTHOR OF THE WOODLAND FAMILY; FAYS OF LOCHLOMOND, &C","London:                     Printed by J. M'Gowan, Great Windmill Street; published by Joseph Emans, Ivy Lane, Paternoster-Row; and sold by Jones & Co., 3, Acton Place, Kingsland Road, 1824","1 vol.  (ii, 553p, ill.). 8&deg;",O 256.d.397; EN2 1824: 43; NSTC 2G20224; xOCLC,"Prefatory' (pp. i&ndash;ii), signed W. C. G., and dated Walworth, 18 Jan 1825. Frontispiece portrait of Will<sup>m</sup>. Child Green, Esq. Collates in fours",,GREEN
779,1989,GARSIDE1800-1829,20100817,1826A040,Abbot of Montserrat,William Child GREEN,1826,goth,Male,,"ABBOT OF MONTSERRAT; OR, THE POOL OF BLOOD. A ROMANCE. IN TWO VOLUMES. BY WILLIAM CHILD GREEN, AUTHOR OF THE FAYS OF LOCH LOMOND, SICILIAN BOY, THE PROPHECY OF DUNCANNON, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1826","2 vols (I ii, 229p; II 256p). 12&deg;",Corvey; CME 3-628-47853-7; ECB 244; EN2 1826: 41; NSTC 2G20221; OCLC 6774392,,,GREEN
682,1806,GARSIDE1800-1829,20100817,1824A047,"Devil's Elixir, The",Ernst Theodor Amadeus HOFFMANN,1824,goth,Male,Robert Pierce GILLIES,THE DEVIL'S ELIXIR. FROM THE GERMAN OF E. T. A. HOFFMANN,"Edinburgh:                     William Blackwood, and T. Cadell, London, 1824","2 vols (I vii, 379p; II 339p). 12&deg;",BL N.230; ECB 275; EN2 1824: 47; NSTC 2H25417; OCLC 6792820,"Trans. of <i>Die Elixiere des Teufels</i> (Berlin, 1815&ndash;16). Translator's Preface dated Edinburgh, 5 June 1824",1829 (OCLC),HOFFMANN
472,1347,GARSIDE1800-1829,20100817,1818A037,"Brownie of Bodsbeck, The",James HOGG,1818,goth,Male,,"THE BROWNIE OF BODSBECK; AND OTHER TALES. BY JAMES HOGG, AUTHOR OF ""THE QUEEN'S WAKE,"" &C. &C. IN TWO VOLUMES","Edinburgh:                     Printed for William Blackwood, Prince's-Street: and John Murray, Albemarle-Street, London, 1818","2 vols (I xii, 295p, music; II 346p). 12&deg;",Corvey; CME 3-628-51047-3; ECB 276; EN2 1818: 37; NSTC 2H25690; OCLC 13609253,"Dedication in verse 'to the Right Honourable Lady Anne Scott, of Buccleuch', dated Eltrive Lake, 1 Apr 1818. The other tales are: 'The Wool-Gatherer', vol. 2, pp. [89]&ndash;228; 'The Hunt of Eildon', vol. 2, pp. [231]&ndash;346. Song with music facing p. 291 of vol. 1",New York 1818 (OCLC),HOGG
524,1479,GARSIDE1800-1829,20100817,1820A034,Winter Evening Tales,James HOGG,1820,goth,Male,,"WINTER EVENING TALES, COLLECTED AMONG THE COTTAGERS IN THE SOUTH OF SCOTLAND. BY JAMES HOGG, AUTHOR OF ""THE QUEEN'S WAKE,"" &C. &C. IN TWO VOLUMES","Edinburgh:                     Printed for Oliver & Boyd, High-Street; and G. & W. B. Whittaker, Ave-Maria-Lane, London, 1820",2 vols (I 340p; II 335p). 12&deg;,Corvey; CME 3-628-51027-9; ECB 276; EN2 1820: 34; NSTC 2H25732; OCLC 6933037,,"2nd edn 1821 (NSTC); New York 1820 (OCLC); German trans., 1822 [as <i>Die Wanderer im Hochlande; Winter-Abend-Erz&auml;hlungen</i>, ascribed to 'Sir James Hogg' (RS)]",HOGG
586,1634,GARSIDE1800-1829,20100817,1822A044,"Three Perils of Man, The",James HOGG,1822,goth,Male,,"THE THREE PERILS OF MAN; OR, WAR, WOMEN, AND WITCHCRAFT. A BORDER ROMANCE. BY JAMES HOGG, AUTHOR OF ""WINTER-EVENING TALES,"" ""BROWNIE OF BODSBECK,"" ""QUEEN'S WAKE,"" &C. &C. IN THREE VOLUMES","London:                     Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1822",3 vols (I 341p; II 353p; III 449p). 12&deg;,Corvey; CME 3-628-47697-6; ECB 276; EN2 1822: 44; NSTC 2H25728; OCLC 27902346,"John Moir, Printer, Edinburgh, 1822' on verso of t.ps. Dedication 'to William Stewart Rose, Esq. as a small menorial of Yarrow, and the Shepherd's humble sheil'",,HOGG
623,1712,GARSIDE1800-1829,20100817,1823A040,"Three Perils of Woman, The",James HOGG,1823,goth,Male,,"THE THREE PERILS OF WOMAN; OR, LOVE, LEASING, AND JEALOUSY. A SERIES OF DOMESTIC SCOTTISH TALES. BY JAMES HOGG, AUTHOR OF ""THE THREE PERILS OF MAN,"" ""QUEEN'S WAKE,"" &C. &C. IN THREE VOLUMES","London:                     Longman, Hurst, Rees, Orme, Brown, and Green, Paternoster-Row, 1823",3 vols (I 335p; II 333p; III 372p). 12&deg;,Corvey; CME 3-628-47732-8; ECB 276; EN2 1823: 43; NSTC 2H25729; OCLC 6794169,Dedication to John Gibson Lockhart,"New York 1823 (OCLC); French trans., 1825",HOGG
665,1809,GARSIDE1800-1829,20100817,1824A050,"Private Memoirs and Confessions of a Justified Sinner, The",James HOGG,1824,goth,Male,,"THE PRIVATE MEMOIRS AND CONFESSIONS OF A JUSTIFIED SINNER: WRITTEN BY HIMSELF: WITH A DETAIL OF CURIOUS TRADITIONARY FACTS, AND OTHER EVIDENCE, BY THE EDITOR","London:                     Printed for Longman, Hurst, Rees, Orme, Brown, and Green, Paternoster Row, 1824",1 vol.  (390p). 8&deg;,Corvey; CME 3-628-47313-6; ECB 471; EN2 1824: 50; NSTC 2M24211; OCLC 8264736,"Dedication 'to the Hon. William Smith, Lord Provost of Glasgow'. Printer's mark, verso of t.p., reads: 'Edinburgh: printed by James Clarke and Co. 1824'. 'Fac Simile' between pp. 366 and 367; though in other copies seen (e.g. E Hall.201.e) this appears as a frontispiece","Reissued (replacement t.p.) as <i>The Suicide's Grave; or, Memoirs and Confessions of a Sinner</i>, 'edited by J. Hogg', Edinburgh 1828 (Selkirk, Borders Regional Library)",HOGG
819,2069,GARSIDE1800-1829,20100817,1827A043,National Tales,Thomas HOOD,1827,goth,Male,,"NATIONAL TALES. BY THOMAS HOOD, AUTHOR OF ""WHIMS AND ODDITIES."" IN TWO VOLUMES","London:                     William H. Ainsworth, Old Bond Street, 1827","2 vols (I viii, 244p, ill.; II 238p, ill.). 12&deg;",Corvey; CME 3-628-51050-3; ECB 279; EN2 1827: 42; NSTC 2H28777; OCLC 45623268,"Advs (1 p. unn.) at end of vol. 2 headed 27, Old Bond-Street, Feb 1827","New edn 1833 (OCLC); Philadelphia 1839 (OCLC); German trans., 1828 [as <i>Ausgew&auml;hlte Erz&auml;hlungen</i> (RS)]",HOOD
721,1901,GARSIDE1800-1829,20100817,1825A043,Hans of Iceland,Victor HUGO,1825,goth,Male,,HANS OF ICELAND,"London:                     J. Robins and Co. Ivy Lane, Paternoster Row, 1825","1 vol.  (225p, ill.). 12&deg;",Corvey; CME 3-628-47659-3; ECB 254; EN2 1825: 44; NSTC 2H35719; OCLC 2028294,"Trans. of <i>Han d'Islande</i> (Paris, 1823)","1837 (OCLC); [1841] (NSTC); [1845] (NSTC); 1847 as <i>The Demon Dwarf; or, Hans of Iceland</i> (NSTC); Boston 1833 (OCLC)",HUGO
597,1636,GARSIDE1800-1829,20100817,1822A046,Bracebridge Hall,Washington IRVING,1822,goth,Male,,"BRACEBRIDGE HALL; OR, THE HUMORISTS. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1822","2 vols (I iv, 393p; II iv, 404p). 12&deg;",Corvey; ECB 301; EN2 1822: 46; NSTC 2C42718; OCLC 276071,"Also published New York 1822, simultaneously with the London edn (Blanck)","New edn 1823 (OCLC); 1824 (NSTC); 1845 (NSTC); 1848 (NSTC); 1850 (NSTC); New York 1822 (NSTC); French trans., 1822; German trans., 1822&ndash;23",IRVING
685,1814,GARSIDE1800-1829,20100817,1824A055,Tales of a Traveller,Washington IRVING,1824,goth,Male,,"TALES OF A TRAVELLER. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1824","2 vols (I xvi, 364p; II vi, 394p). 8&deg;",BL 838.f.7; ECB 301; EN2 1824: 54; NSTC 2C42720; OCLC 2127228,Reviewed in QR (Mar 1825) with three other of Irving's works,"New edn 1825 (Corvey, NSTC); 1848 (NSTC); 1850 (OCLC); Philadelphia 1824 (OCLC); French trans., 1825; German trans., 1825",IRVING
909,2239,GARSIDE1800-1829,20100817,1829A050,"Richelieu, a Tale of France",George Payne Rainsford JAMES,1829,goth,Male,,"RICHELIEU, A TALE OF FRANCE. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I xix, 290p; II 315p; III 348p). 12&deg;",Corvey; CME 3-628-47936-3; ECB 493; EN2 1829: 48; NSTC 2J2162; OCLC 2503093,,"2nd edn 1831 (NSTC); 1839 (NSTC); New York 1829 (OCLC); French trans., 1830; German trans., 1830 [as <i>Kardinal Richelieu. Eine historisch-romantische Schilderung Frankreichs im Jahr 1642</i> (RS)]",JAMES
933,2498,GARSIDE1830-1836,20110421,1832:049,HENRY MASTERTON,"[JAMES, George Payne Rainsford]",1832,goth,Male,,"HENRY MASTERTON; OR THE ADVENTURES OF A YOUNG CAVALIER. BY THE AUTHOR OF ""RICHELIEU,"" ""DARNLEY,"" &C.; IN THREE VOLUMES.","London: Henry Colburn and Richard Bentley, New Burlington Street, 1832.",,,,"revised and corrected, 1837 (NSTC, OCLC; BP 24 Nov 1837, 6s); 1847 (OCLC); 1851 (NSTC); 1853 (OCLC); 1858 (OCLC); 1865 (OCLC); New York 1832 (OCLC); German trans., 1833; French trans., 1835 [as <i>M«∂∏moires d'un jeune cavalier, par James</i> ].","JAMES, George Payne Rainsford]"
724,1907,GARSIDE1800-1829,20100817,1825A049,Lochandhu,Sir Thomas Dick LAUDER,1825,goth,Male,,LOCHANDHU A TALE OF THE EIGHTEENTH CENTURY. IN THREE VOLUMES,"Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson and Co. London, 1825","3 vols (I xii, 300p, ill.; II 312p, ill.; III 287p, ill.). 12&deg;",Corvey; CME 3-628-48037-X; ECB 350; EN2 1825: 50; NSTC 2L5420; OCLC 17424477,"Introductory Address signed Charles Montague Montgomery, Gladstanes' Lodgings, James' Court, 10 Nov 1824","French trans., 1828",LAUDER
821,2075,GARSIDE1800-1829,20100817,1827A049,"Wolfe of Badenoch, The",Sir Thomas Dick LAUDER,1827,goth,Male,,"THE WOLFE OF BADENOCH; A HISTORICAL ROMANCE OF THE FOURTEENTH CENTURY. BY THE AUTHOR OF ""LOCHANDHU.""","Edinburgh:                     Printed for Cadell & Co.; and Simpkin & Marshall, London, 1827",3 vols (I 399p; II 424p; III 474p). 12&deg;,Corvey; CME 3-628-48973-3; EN2 1827: 48; NSTC 2L5427; OCLC 22291941,"ECB 645 lists 2nd edn, Feb 1827","2nd edn 1827 (OCLC); German trans., 1827; French trans., 1828",LAUDER
265,659,GARSIDE1800-1829,20100817,1808A071,Romantic Tales,Matthew Gregory LEWIS,1808,goth,Male,,"ROMANTIC TALES, BY M. G. LEWIS, AUTHOR OF THE MONK, ADELGITHA, &C. IN FOUR VOLUMES","London:                     Printed by D. N. Shury, 7, Berwick Street, for Longman, Hurst, Rees, and Orme, Paternoster-Row, 1808","4 vols ( I xxiii, 307p; II 335p; III 276p; IV 326p). 12&deg;",Corvey; CME 3-628-51092-9; ECB 343; EN2 1808: 72; NSTC L1509; OCLC 4739245,"Dedication to Lady Charlotte Maria Campbell, dated London, 21 June 1808. I Mistrust; or, Blanche and Osbright; The Admiral Guarino; King Rodrigo's Fall; Bertrand and Mary-Belle; The Lord of Falkenstein; Sir Guy, the Seeker; II The Anaconda; The Dying Bride; The Four Facardins, Part I; III The Four Facardins, Part II; Oberon's Henchman, or the Legend of the Three Sisters; IV My Uncle's Garret-Window; Bill Jones; Amorassan, or the Spirit of the Frozen Ocean","1838 (NSTC: selection); 1848 (NSTC: selection); New York 1809 (OCLC); French trans., of 'My Uncle's Garret-Window', 1821",LEWIS
1,3007,GARSIDE1770-1799,20111110,1796:63,THE MONK,"LEWIS, M[atthew] G[regory]",1796,goth,Male,,"THE MONK: A ROMANCE. IN THREE VOLUMES. BY M. G. LEWIS, ESQ. M.P.","London: Printed for J. Bell, Oxford-street, 1796.",,,,,"LEWIS, M[atthew] G[regory]"
822,2078,GARSIDE1800-1829,20100817,1827A052,"Military Sketch-Book, The",William MAGINN,1827,goth,Male,,THE MILITARY SKETCH-BOOK. REMINISCENCES OF SEVENTEEN YEARS IN THE SERVICE ABROAD AND AT HOME. BY AN OFFICER OF THE LINE. IN TWO VOLUMES,"London:                     Henry Colburn, New Burlington Street, 1827",2 vols (I 347p; II 347p). 12&deg;,IU 823.M.5991; ECB 384; EN2 1827: 51; NSTC 2S3536; OCLC 1813654,"Attributed in Block and in some library catalogues to William Maginn, but perhaps erroneously: see also the same author's <a href=""titleDetails.asp?title=1829A059""><i>Tales of Military Life</i></a> (EN2 1829: 58), and <a href=""../guide/update1.html"">EN2 Update 1</a>, where information suggesting  authorship by another Irish writer is supplied",2nd edn 1831 (NSTC); New York & Philadelphia 1827 (OCLC),MAGINN
823,2079,GARSIDE1800-1829,20100817,1827A053,Whitehall,William MAGINN,1827,goth,Male,,"WHITEHALL; OR, THE DAYS OF GEORGE IV","London:                     William Marsh, 137, Oxford-Street, n.d. [1827]","1 vol.  (vi, 330p). 8&deg;",Corvey; CME 3-628-48905-9; ECB 635; EN2 1827: 52; NSTC 2M9550; OCLC 1168342,"Dedication to Sir Edmund Nagle, K.C.B., dated Green Arbour Court, 21 Oct 1827",,MAGINN
912,2248,GARSIDE1800-1829,20100817,1829A059,Tales of Military Life,William MAGINN,1829,goth,Male,,"TALES OF MILITARY LIFE. BY THE AUTHOR OF ""THE MILITARY SKETCH BOOK."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I vii, 335p; II 322p; III 331p). 12&deg;",Corvey; CME 3-628-48864-8; ECB 575; EN2 1829: 58; NSTC 2M9549; OCLC 13322562,"I Vandeleur; II Vandeleur; III Vandeleur concluded; Gentleman Gray. Dedication 'to the Colonel of the 42nd (Royal Highlanders,) Lieutenant-General the Right Hon. Sir George Murray, G.C.B. and G.C.H.'. Preface mentions the author having spent the 'greatest part' of his life in the army. Wolff (Item 7574) suggests that the attribution of this title to William Maginn by Block is likely to be wrong&mdash;see also <a href=""titleDetails.asp?title=1827A052""><i>The Military Sketch-Book</i></a> (EN2 1827: 51) and <a href=""../guide/update1.html"">EN2 Update 1</a>, where information suggesting an alternative Irish author is supplied",1834 (OCLC); New York 1829 (OCLC),MAGINN
913,2249,GARSIDE1800-1829,20100817,1829A060,"Naval Officer, The",Frederick MARRYAT,1829,goth,Male,,"THE NAVAL OFFICER; OR, SCENES AND ADVENTURES IN THE LIFE OF FRANK MILDMAY. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829",3 vols (I 297p; II 310p; III 270p). 12&deg;,Corvey; CME 3-628-48259-3; ECB 408; EN2 1829: 59; NSTC 2M15125; OCLC 5305661,,"1834 (OCLC); 1834 as <i>Frank Mildmay; or, the Naval Officer</i> (OCLC); 1835 (OCLC); 1836 (NSTC); 1839 (NSTC); Philadelphia 1833 (OCLC); French trans., 1833; German trans., 1835",MARRYAT
946,2510,GARSIDE1830-1836,20110421,1832:061,Newton Forster,"MARRYAT, Frederick",,goth,,,,,,,,,"MARRYAT, Frederick"
938,2663,GARSIDE1830-1836,20110421,1834:048,JACOB FAITHFUL,"[MARRYAT, Frederick]",1834,goth,Male,,"JACOB FAITHFUL. BY THE AUTHOR OF """"PETER SIMPLE,"""" """"THE KINGS'S OWN,"""" &C.; IN THREE VOLUMES.",,,,,"2nd edn. 1834 (OCLC); 3rd edn. 1835 (NSTC, OCLC); 1837 (NSTC, OCLC); 1838 (NSTC, OCLC); 1844, a reissue of 1838 (NSTC); 1850 (NSTC); [at least 5 more edns. to 1870]; German trans., 1835; French trans., 1837.","MARRYAT, Frederick]"
224,560,GARSIDE1800-1829,20100817,1807A041,Fatal Revenge,Charles Robert MATURIN,1807,goth,Male,,"FATAL REVENGE; OR, THE FAMILY OF MONTORIO. A ROMANCE. BY DENNIS JASPER MURPHY. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster Row, 1807","3 vols (I xiii, 400p; II 518p; III 493p). 12&deg;",Corvey; CME 3-628-48395-6; ECB 201; EN2 1807: 42; NSTC M1726; OCLC 6929107,"Preface signed 'Dennis Jasper Murphy', dated Dublin, 15 Dec 1806. Colophons vary: vols 1&ndash;2 read 'C. Stower, Printer, Paternoster Row'; vol. 3 reads 'G. Woodfall, Printer, Paternoster Row'","2nd edn 1824 (NSTC); 4th edn 1840 (NSTC); 1841 (NSTC); New York 1808 (OCLC); French trans., 1822 [as <i>La Famille de Montorio, ou la fatale vengeance</i> (CCFR)]",MATURIN
266,662,GARSIDE1800-1829,20100817,1808A074,"Wild Irish Boy, The",Charles Robert MATURIN,1808,goth,Male,,THE WILD IRISH BOY. IN THREE VOLUMES. BY THE AUTHOR OF MONTORIO,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by J. D. Dewick, Aldersgate-Street, 1808","3 vols (I xi, 276p; II 342p; III 406p). 12&deg;",Corvey; CME 3-628-48922-9; ECB 637; EN2 1808: 75; NSTC M1728; OCLC 24412175,"Dedication 'to the Right Honorable the Earl of Moira', signed 'The Author of Montorio'. Preface stating that 'My first work was said to be too defective in female characters and female interest' (p. [ix])","2nd edn 1824 (OCLC); New York 1808 (OCLC); French trans., 1828 [as <i>Le Jeune Irlandais</i> (CCFR)]",MATURIN
